W,L,H,Er,Cond,T,TanD
2.2e-05,0.000346,0.000175,13.5,60000000.0,5e-07,0.001
8e-05,0.000768,0.000253,12.5,60000000.0,5e-07,0.001
0.000851,7.8e-05,0.000269,9.5,60000000.0,5e-07,0.001
0.000173,0.000537,6.9e-05,13.5,60000000.0,5e-07,0.001
5.99e-05,0.000213,0.0003,13.0,60000000.0,5e-07,0.001
0.00376,0.000728,7.5e-05,10.5,60000000.0,5e-07,0.001
0.000415,0.000868,0.000262,12.0,60000000.0,5e-07,0.001
0.000526,0.000449,0.000132,13.0,60000000.0,5e-07,0.001
0.00797,0.000836,0.000252,13.0,60000000.0,5e-07,0.001
8.72e-05,0.000243,5.5e-05,9.5,60000000.0,5e-07,0.001
7.02e-05,0.000925,0.00014,14.0,60000000.0,5e-07,0.001
0.00103,0.00018,8.2e-05,12.0,60000000.0,5e-07,0.001
6.51e-06,0.000862,0.000206,10.0,60000000.0,5e-07,0.001
1.18e-05,0.000206,0.000235,11.0,60000000.0,5e-07,0.001
8.66e-06,7e-06,0.000109,9.5,60000000.0,5e-07,0.001
0.00731,0.000258,9.2e-05,11.0,60000000.0,5e-07,0.001
3.44e-05,0.00089,0.000137,13.5,60000000.0,5e-07,0.001
0.00172,9.5e-05,8.6e-05,10.5,60000000.0,5e-07,0.001
0.0285,0.00037,0.000285,11.0,60000000.0,5e-07,0.001
0.00928,0.000876,0.000233,12.0,60000000.0,5e-07,0.001
2.16e-06,0.000767,0.000216,10.5,60000000.0,5e-07,0.001
5.34e-05,0.000725,0.000169,14.0,60000000.0,5e-07,0.001
0.00058,0.000242,9.2e-05,14.0,60000000.0,5e-07,0.001
0.0231,0.000657,0.000231,10.5,60000000.0,5e-07,0.001
3.29e-05,0.000828,0.000131,13.0,60000000.0,5e-07,0.001
0.000128,0.000469,8.1e-05,9.0,60000000.0,5e-07,0.001
1.41e-05,0.000906,0.000282,10.5,60000000.0,5e-07,0.001
2.3e-05,0.000196,0.000145,10.5,60000000.0,5e-07,0.001
5.41e-06,0.000542,0.000171,13.0,60000000.0,5e-07,0.001
0.0005,2.5e-05,0.000199,9.0,60000000.0,5e-07,0.001
8.52e-06,0.000214,0.000214,14.0,60000000.0,5e-07,0.001
1.5e-06,0.000143,0.00015,11.0,60000000.0,5e-07,0.001
0.00214,0.000654,0.000269,13.0,60000000.0,5e-07,0.001
0.00142,0.000997,7.1e-05,12.0,60000000.0,5e-07,0.001
7.59e-06,0.000878,0.00024,11.5,60000000.0,5e-07,0.001
3.71e-05,0.000979,0.000295,12.0,60000000.0,5e-07,0.001
0.000406,0.000483,8.1e-05,12.5,60000000.0,5e-07,0.001
0.00023,0.000108,0.000145,12.0,60000000.0,5e-07,0.001
0.000814,0.000672,0.000129,13.5,60000000.0,5e-07,0.001
1.8e-05,0.000992,0.000143,11.0,60000000.0,5e-07,0.001
6.01e-05,0.000796,0.000151,11.5,60000000.0,5e-07,0.001
1.12e-05,0.000254,0.000177,10.0,60000000.0,5e-07,0.001
1.1e-06,0.000535,8.7e-05,12.5,60000000.0,5e-07,0.001
1.32e-05,2.6e-05,6.6e-05,13.0,60000000.0,5e-07,0.001
7.23e-05,0.000829,9.1e-05,12.0,60000000.0,5e-07,0.001
1.98e-06,0.000495,7.9e-05,10.0,60000000.0,5e-07,0.001
3.54e-05,0.000547,0.000112,10.0,60000000.0,5e-07,0.001
0.000434,0.000564,0.000109,10.0,60000000.0,5e-07,0.001
0.0175,0.000346,0.00022,10.0,60000000.0,5e-07,0.001
5.99e-06,3.8e-05,0.0003,12.0,60000000.0,5e-07,0.001
0.000322,4.4e-05,0.000256,13.0,60000000.0,5e-07,0.001
1.09e-05,0.000506,0.000217,11.0,60000000.0,5e-07,0.001
2.97e-05,0.000902,9.4e-05,13.5,60000000.0,5e-07,0.001
4.06e-06,0.000928,0.000256,9.5,60000000.0,5e-07,0.001
0.00481,0.000108,0.000241,9.5,60000000.0,5e-07,0.001
0.000115,0.000922,0.00029,12.0,60000000.0,5e-07,0.001
9.83e-06,0.000383,6.2e-05,10.5,60000000.0,5e-07,0.001
0.000341,0.000125,6.8e-05,13.5,60000000.0,5e-07,0.001
0.000231,0.000347,0.000231,11.5,60000000.0,5e-07,0.001
2.23e-06,0.000302,0.000141,14.0,60000000.0,5e-07,0.001
5.22e-05,0.000132,0.000131,11.5,60000000.0,5e-07,0.001
6.53e-05,0.000575,0.00026,13.5,60000000.0,5e-07,0.001
4.5e-06,0.000781,0.000284,12.0,60000000.0,5e-07,0.001
5.43e-05,0.000292,8.6e-05,13.5,60000000.0,5e-07,0.001
5.31e-06,0.000566,0.000106,14.0,60000000.0,5e-07,0.001
0.00227,0.000679,0.00018,10.5,60000000.0,5e-07,0.001
0.015,7.9e-05,0.000299,10.0,60000000.0,5e-07,0.001
0.000105,0.000848,0.000265,14.0,60000000.0,5e-07,0.001
1.8e-06,0.0007,0.00018,12.5,60000000.0,5e-07,0.001
0.000565,0.000836,0.000142,13.0,60000000.0,5e-07,0.001
